Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
0xba519687a125270af3a50a77ea02c9d3fd1dcf16cc2457098bae250a23e21c7a,Success,Transfer,120073099,2026-09-05 07:47:08,0xf1618ea0c0f2204c1aecfabfa2b3dc5fe063d733,Fake_Phishing971097,0x231bdd87ade0feb934a981f9a4442cc2bac110c8,Fake_Phishing1330116,0 BNB,$0.00,3.02e-05
0x4a853d1f729d281ba9e7196a41c8bec33c66a1e7954e99447ec880ab1593c4bf,Success,Transfer,120072388,2026-09-05 07:41:48,0xf1618ea0c0f2204c1aecfabfa2b3dc5fe063d733,Fake_Phishing971097,0x231bdd87ade0feb934a981f9a4442cc2bac110c8,Fake_Phishing1330116,0 BNB,$0.00,3.03e-05
0x7731dbea7d4499e5258ace6bfb8075d17f8d9359fcd5b3e86617a0ec9729d20e,Success,Transfer,120071687,2026-09-05 07:36:33,0xf1618ea0c0f2204c1aecfabfa2b3dc5fe063d733,Fake_Phishing971097,0x231bdd87ade0feb934a981f9a4442cc2bac110c8,Fake_Phishing1330116,0 BNB,$0.00,3.031e-05
0xc6ede5899f16b50a3b454bdd92f6e9dbe5f754370630b35b31bec9c2ccc2019b,Success,Transfer,120070987,2026-09-05 07:31:18,0xf1618ea0c0f2204c1aecfabfa2b3dc5fe063d733,Fake_Phishing971097,0x231bdd87ade0feb934a981f9a4442cc2bac110c8,Fake_Phishing1330116,0 BNB,$0.00,3.03e-05
0xdacb955cbbb711b834401d1c36a97a1c9ac3729175884e8c69da1c1d06790943,Success,Transfer,120070227,2026-09-05 07:25:36,0xf1618ea0c0f2204c1aecfabfa2b3dc5fe063d733,Fake_Phishing971097,0x231bdd87ade0feb934a981f9a4442cc2bac110c8,Fake_Phishing1330116,0 BNB,$0.00,3.031e-05
0xe06c6ed6416b6f5fdb2a40689d7faaadf608bfc8947ddd9f51267c8f34cf1b86,Success,Transfer,120069513,2026-09-05 07:20:14,0xf1618ea0c0f2204c1aecfabfa2b3dc5fe063d733,Fake_Phishing971097,0x231bdd87ade0feb934a981f9a4442cc2bac110c8,Fake_Phishing1330116,0 BNB,$0.00,2.972e-05
0xea1ced296ba67141fe724ada24e0dfc6d04eb31b614df125e893d0bdf3c56075,Success,Transfer,120068829,2026-09-05 07:15:06,0xf1618ea0c0f2204c1aecfabfa2b3dc5fe063d733,Fake_Phishing971097,0x231bdd87ade0feb934a981f9a4442cc2bac110c8,Fake_Phishing1330116,0 BNB,$0.00,3.011e-05
0x02384f9e5aef6dd469e2d5cadf1df813f495245fde8b9aa5149c9003d6da43c7,Success,Transfer,120068140,2026-09-05 07:09:56,0xf1618ea0c0f2204c1aecfabfa2b3dc5fe063d733,Fake_Phishing971097,0x231bdd87ade0feb934a981f9a4442cc2bac110c8,Fake_Phishing1330116,0 BNB,$0.00,2.972e-05
0xa5f2e457220b73cb6b5fdfaa800eba0ba65c546fd7d05245b38e7e8b67aff7f9,Success,Transfer,120067446,2026-09-05 07:04:44,0xf1618ea0c0f2204c1aecfabfa2b3dc5fe063d733,Fake_Phishing971097,0x231bdd87ade0feb934a981f9a4442cc2bac110c8,Fake_Phishing1330116,0 BNB,$0.00,2.932e-05
0x207af60e0517060fea70ea65cdd8753ea40e629a45f485db17d612634e54fe2e,Success,Transfer,120066695,2026-09-05 06:59:06,0xf1618ea0c0f2204c1aecfabfa2b3dc5fe063d733,Fake_Phishing971097,0x231bdd87ade0feb934a981f9a4442cc2bac110c8,Fake_Phishing1330116,0 BNB,$0.00,3.039e-05
0x8e7bf38d2570682149130d064caf876d5dddc37aa6f7dec22f619390a740ee9c,Success,Transfer,120065840,2026-09-05 06:52:41,0xf1618ea0c0f2204c1aecfabfa2b3dc5fe063d733,Fake_Phishing971097,0x231bdd87ade0feb934a981f9a4442cc2bac110c8,Fake_Phishing1330116,0 BNB,$0.00,3.031e-05
0xde1c5caca3e363a2f54785dbcc542f31e139e01727f36e4e452207ba8d130602,Success,Transfer,120065078,2026-09-05 06:46:58,0xf1618ea0c0f2204c1aecfabfa2b3dc5fe063d733,Fake_Phishing971097,0x231bdd87ade0feb934a981f9a4442cc2bac110c8,Fake_Phishing1330116,0 BNB,$0.00,3.031e-05
